device,sensor,value,epoch
AM2315,Humidity,53.48,1667836621729
GY30,Lux,83.33,1667836621729
BMP280,Pressure,101374,1667836621729
AM2315,Temperature,29.37,1667836621728
ADS1115,ADC,700.56,1667836621729
AM2315,Temperature,29.34,1667836632036
ADS1115,ADC,701.11,1667836632037
BMP280,Pressure,101374,1667836632037
GY30,Lux,83.33,1667836632037
AM2315,Humidity,53.62,1667836632037
AM2315,Temperature,29.35,1667836635477
GY30,Lux,83.33,1667836635477
BMP280,Pressure,101374,1667836635477
AM2315,Humidity,53.41,1667836635477
ADS1115,ADC,701.67,1667836635477
AM2315,Temperature,29.35,1667836638909
ADS1115,ADC,701.67,1667836638910
AM2315,Humidity,53.55,1667836638910
GY30,Lux,83.33,1667836638910
BMP280,Pressure,101375,1667836638910
AM2315,Temperature,29.33,1667836645782
BMP280,Pressure,101374,1667836645782
AM2315,Humidity,53.76,1667836645782
GY30,Lux,83.33,1667836645783
ADS1115,ADC,702.22,1667836645783
AM2315,Temperature,29.34,1667836649221
GY30,Lux,83.33,1667836649222
AM2315,Humidity,53.52,1667836649221
BMP280,Pressure,101375,1667836649221
ADS1115,ADC,702.78,1667836649222
AM2315,Temperature,29.33,1667836652707
ADS1115,ADC,703.33,1667836652708
AM2315,Humidity,53.32,1667836652708
GY30,Lux,83.33,1667836652708
BMP280,Pressure,101375,1667836652708
AM2315,Temperature,29.35,1667836656117
ADS1115,ADC,703.89,1667836656117
BMP280,Pressure,101373,1667836656117
GY30,Lux,90.83,1667836656117
AM2315,Humidity,53.04,1667836656117
AM2315,Temperature,29.32,1667836659525
ADS1115,ADC,704.44,1667836659525
AM2315,Humidity,53.22,1667836659525
GY30,Lux,90.83,1667836659525
BMP280,Pressure,101373,1667836659525
AM2315,Temperature,29.33,1667836662968
ADS1115,ADC,704.44,1667836662969
GY30,Lux,90.83,1667836662968
AM2315,Humidity,53.29,1667836662968
BMP280,Pressure,101373,1667836662968
AM2315,Temperature,29.33,1667836666399
ADS1115,ADC,705,1667836666399
BMP280,Pressure,101373,1667836666399
GY30,Lux,90.83,1667836666399
AM2315,Humidity,53.22,1667836666399
AM2315,Temperature,29.34,1667836669848
BMP280,Pressure,101374,1667836669848
AM2315,Humidity,53.48,1667836669848
ADS1115,ADC,705.56,1667836669849
AM2315,Temperature,29.32,1667836676707
ADS1115,ADC,706.67,1667836676707
BMP280,Pressure,101374,1667836676707
GY30,Lux,85.83,1667836676707
AM2315,Humidity,53.82,1667836676707
AM2315,Temperature,29.32,1667836680170
ADS1115,ADC,707.22,1667836680170
BMP280,Pressure,101375,1667836680170
GY30,Lux,85.83,1667836680170
AM2315,Humidity,53.79,1667836680170
AM2315,Temperature,29.31,1667836687016
ADS1115,ADC,707.22,1667836687016
GY30,Lux,85.83,1667836687016
AM2315,Humidity,53.44,1667836687016
BMP280,Pressure,101375,1667836687016
AM2315,Temperature,29.31,1667836690457
GY30,Lux,86.67,1667836690457
AM2315,Humidity,53.41,1667836690457
BMP280,Pressure,101374,1667836690457
ADS1115,ADC,707.78,1667836690458
AM2315,Temperature,29.31,1667836693896
ADS1115,ADC,708.33,1667836693896
BMP280,Pressure,103375,1667836693896
GY30,Lux,86.67,1667836693896
AM2315,Humidity,53.48,1667836693896
AM2315,Temperature,29.3,1667836697329
ADS1115,ADC,708.89,1667836697330
BMP280,Pressure,101375,1667836697330
GY30,Lux,85.83,1667836697330
AM2315,Humidity,53.62,1667836697330
AM2315,Temperature,29.32,1667836700759
ADS1115,ADC,708.89,1667836700760
BMP280,Pressure,101375,1667836700760
GY30,Lux,86.67,1667836700760
AM2315,Humidity,53.59,1667836700759
AM2315,Humidity,53.7,1667836704217
AM2315,Temperature,29.31,1667836704216
BMP280,Pressure,101375,1667836704217
GY30,Lux,86.67,1667836704217
ADS1115,ADC,709.44,1667836704217
AM2315,Temperature,29.32,1667836707631
