date,time,ADC,Humidity,Lux,Pressure,Temperature
11/7/2022,15:57:02,700.56,53.48,83.33,101374,29.37
11/7/2022,15:57:12,701.11,53.62,83.33,101374,29.34
11/7/2022,15:57:15,701.67,53.41,83.33,101374,29.35
11/7/2022,15:57:19,701.67,53.55,83.33,101375,29.35
11/7/2022,15:57:26,702.22,53.76,83.33,101374,29.33
11/7/2022,15:57:29,702.78,53.52,83.33,101375,29.34
11/7/2022,15:57:33,703.33,53.32,83.33,101375,29.33
11/7/2022,15:57:36,703.89,53.04,90.83,101373,29.35
11/7/2022,15:57:40,704.44,53.22,90.83,101373,29.32
11/7/2022,15:57:43,704.44,53.29,90.83,101373,29.33
11/7/2022,15:57:46,705,53.22,90.83,101373,29.33
11/7/2022,15:57:50,705.56,53.48,-,101374,29.34
11/7/2022,15:57:57,706.67,53.82,85.83,101374,29.32
11/7/2022,15:58:00,707.22,53.79,85.83,101375,29.32
11/7/2022,15:58:07,707.22,53.44,85.83,101375,29.31
11/7/2022,15:58:10,707.78,53.41,86.67,101374,29.31
11/7/2022,15:58:14,708.33,53.48,86.67,103375,29.31
11/7/2022,15:58:17,708.89,53.62,85.83,101375,29.3
11/7/2022,15:58:21,708.89,53.59,86.67,101375,29.32
11/7/2022,15:58:24,709.44,53.7,86.67,101375,29.31
11/7/2022,15:58:28,-,-,-,-,29.32
